id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away
Spiegelstrasse_2024-09-17_3,8,5,3
Spiegelstrasse_2024-09-17_4,6,1,5
Spiegelstrasse_2024-09-17_5,67,57,10
Spiegelstrasse_2024-09-17_6,173,126,47
Spiegelstrasse_2024-09-17_7,311,212,99
Spiegelstrasse_2024-09-17_8,421,287,134
Spiegelstrasse_2024-09-17_9,580,338,242
Spiegelstrasse_2024-09-17_10,806,487,319
Spiegelstrasse_2024-09-17_11,952,524,428
Spiegelstrasse_2024-09-17_12,1268,711,557
Spiegelstrasse_2024-09-17_13,1353,737,616
Spiegelstrasse_2024-09-17_14,1226,670,556
Spiegelstrasse_2024-09-17_15,1162,634,528
Spiegelstrasse_2024-09-17_16,1236,715,521
Spiegelstrasse_2024-09-17_17,1174,583,591
Spiegelstrasse_2024-09-17_18,771,381,390
Spiegelstrasse_2024-09-17_19,625,317,308
Spiegelstrasse_2024-09-17_20,342,162,180
Spiegelstrasse_2024-09-17_21,200,97,103
Spiegelstrasse_2024-09-17_22,136,68,68
Spiegelstrasse_2024-09-17_23,88,34,54
Spiegelstrasse_2024-09-18_0,30,16,14
Spiegelstrasse_2024-09-18_1,15,4,11
Spiegelstrasse_2024-09-18_2,6,1,5
Spiegelstrasse_2024-09-18_3,9,6,3
Spiegelstrasse_2024-09-18_4,4,1,3
Spiegelstrasse_2024-09-18_5,62,47,15
Spiegelstrasse_2024-09-18_6,162,110,52
Spiegelstrasse_2024-09-18_7,348,208,140
Spiegelstrasse_2024-09-18_8,433,286,147
Spiegelstrasse_2024-09-18_9,590,339,251
Spiegelstrasse_2024-09-18_10,784,496,288
Spiegelstrasse_2024-09-18_11,993,562,431
Spiegelstrasse_2024-09-18_12,1501,882,619
Spiegelstrasse_2024-09-18_13,1454,783,671
Spiegelstrasse_2024-09-18_14,1090,569,521
Spiegelstrasse_2024-09-18_15,1215,629,586
Spiegelstrasse_2024-09-18_16,1275,694,581
Spiegelstrasse_2024-09-18_17,1245,673,572
Spiegelstrasse_2024-09-18_18,919,458,461
Spiegelstrasse_2024-09-18_19,657,329,328
Spiegelstrasse_2024-09-18_20,372,192,180
Spiegelstrasse_2024-09-18_21,319,140,179
Spiegelstrasse_2024-09-18_22,144,70,74
Spiegelstrasse_2024-09-18_23,96,62,34
Spiegelstrasse_2024-09-19_0,25,12,13
Spiegelstrasse_2024-09-19_1,22,13,9
Spiegelstrasse_2024-09-19_2,11,6,5
Spiegelstrasse_2024-09-19_3,12,11,1
Spiegelstrasse_2024-09-19_4,3,0,3
Spiegelstrasse_2024-09-19_5,73,50,23
Spiegelstrasse_2024-09-19_6,134,90,44
Spiegelstrasse_2024-09-19_7,319,206,113
Spiegelstrasse_2024-09-19_8,433,276,157
Spiegelstrasse_2024-09-19_9,564,362,202
Spiegelstrasse_2024-09-19_10,761,471,290
Spiegelstrasse_2024-09-19_11,947,563,384
Spiegelstrasse_2024-09-19_12,1274,734,540
Spiegelstrasse_2024-09-19_13,1375,702,673
Spiegelstrasse_2024-09-19_14,1189,674,515
Spiegelstrasse_2024-09-19_15,1183,666,517
Spiegelstrasse_2024-09-19_16,1210,659,551
Spiegelstrasse_2024-09-19_17,1177,637,540
Spiegelstrasse_2024-09-19_18,878,457,421
Spiegelstrasse_2024-09-19_19,666,317,349
Spiegelstrasse_2024-09-19_20,428,196,232
Spiegelstrasse_2024-09-19_21,308,144,164
Spiegelstrasse_2024-09-19_22,129,79,50
Spiegelstrasse_2024-09-19_23,66,32,34
Spiegelstrasse_2024-09-20_0,39,17,22
Spiegelstrasse_2024-09-20_1,17,10,7
Spiegelstrasse_2024-09-20_2,9,4,5
Spiegelstrasse_2024-09-20_3,4,3,1
Spiegelstrasse_2024-09-20_4,10,9,1
Spiegelstrasse_2024-09-20_5,52,41,11
Spiegelstrasse_2024-09-20_6,144,107,37
Spiegelstrasse_2024-09-20_7,330,205,125
Spiegelstrasse_2024-09-20_8,450,278,172
Spiegelstrasse_2024-09-20_9,602,397,205
Spiegelstrasse_2024-09-20_10,892,565,327
Spiegelstrasse_2024-09-20_11,964,548,416
Spiegelstrasse_2024-09-20_12,1270,746,524
Spiegelstrasse_2024-09-20_13,1335,749,586
Spiegelstrasse_2024-09-20_14,1356,736,620
Spiegelstrasse_2024-09-20_15,1439,748,691
Spiegelstrasse_2024-09-20_16,1609,841,768
Spiegelstrasse_2024-09-20_17,1386,705,681
Spiegelstrasse_2024-09-20_18,1254,605,649
Spiegelstrasse_2024-09-20_19,1070,481,589
Spiegelstrasse_2024-09-20_20,660,335,325
Spiegelstrasse_2024-09-20_21,467,204,263
Spiegelstrasse_2024-09-20_22,263,114,149
Spiegelstrasse_2024-09-20_23,167,91,76
Spiegelstrasse_2024-09-21_0,90,60,30
Spiegelstrasse_2024-09-21_1,55,20,35
Spiegelstrasse_2024-09-21_2,30,14,16
Spiegelstrasse_2024-09-21_3,17,7,10
Spiegelstrasse_2024-09-21_4,28,16,12
Spiegelstrasse_2024-09-21_5,27,16,11
Spiegelstrasse_2024-09-21_6,85,55,30
Spiegelstrasse_2024-09-21_7,102,70,32
Spiegelstrasse_2024-09-21_8,175,114,61
Spiegelstrasse_2024-09-21_9,484,334,150
Spiegelstrasse_2024-09-21_10,1005,699,306
Spiegelstrasse_2024-09-21_11,1202,765,437
Spiegelstrasse_2024-09-21_12,1496,841,655
Spiegelstrasse_2024-09-21_13,1832,917,915
Spiegelstrasse_2024-09-21_14,2107,1153,954
Spiegelstrasse_2024-09-21_15,1786,834,952
Spiegelstrasse_2024-09-21_16,1750,848,902
Spiegelstrasse_2024-09-21_17,1475,711,764
Spiegelstrasse_2024-09-21_18,1273,573,700
Spiegelstrasse_2024-09-21_19,1085,567,518
Spiegelstrasse_2024-09-21_20,669,333,336
Spiegelstrasse_2024-09-21_21,547,246,301
Spiegelstrasse_2024-09-21_22,287,130,157
Spiegelstrasse_2024-09-21_23,138,49,89
Spiegelstrasse_2024-09-22_0,71,29,42
Spiegelstrasse_2024-09-22_1,17,9,8
Spiegelstrasse_2024-09-22_2,22,10,12
Spiegelstrasse_2024-09-22_3,14,1,13
Spiegelstrasse_2024-09-22_4,11,3,8
Spiegelstrasse_2024-09-22_5,14,10,4
Spiegelstrasse_2024-09-22_6,41,25,16
Spiegelstrasse_2024-09-22_7,27,18,9
Spiegelstrasse_2024-09-22_8,105,58,47
Spiegelstrasse_2024-09-22_9,217,146,71
Spiegelstrasse_2024-09-22_10,404,269,135
Spiegelstrasse_2024-09-22_11,503,228,275
Spiegelstrasse_2024-09-22_12,785,448,337
Spiegelstrasse_2024-09-22_13,787,425,362
Spiegelstrasse_2024-09-22_14,1006,500,506
Spiegelstrasse_2024-09-22_15,991,557,434
Spiegelstrasse_2024-09-22_16,959,523,436
Spiegelstrasse_2024-09-22_17,754,409,345
Spiegelstrasse_2024-09-22_18,651,347,304
Spiegelstrasse_2024-09-22_19,554,280,274
Spiegelstrasse_2024-09-22_20,356,191,165
Spiegelstrasse_2024-09-22_21,275,118,157
Spiegelstrasse_2024-09-22_22,104,50,54
Spiegelstrasse_2024-09-22_23,36,22,14
Kaiserstrasse_2024-09-16_0,31,19,12
Kaiserstrasse_2024-09-16_1,15,6,9
Kaiserstrasse_2024-09-16_2,6,4,2
Kaiserstrasse_2024-09-16_3,1,1,0
Kaiserstrasse_2024-09-16_4,15,3,12
Kaiserstrasse_2024-09-16_5,67,32,35
Kaiserstrasse_2024-09-16_6,223,108,115
Kaiserstrasse_2024-09-16_7,613,428,185
Kaiserstrasse_2024-09-16_8,779,467,312
Kaiserstrasse_2024-09-16_9,920,492,428
Kaiserstrasse_2024-09-16_10,1285,650,635
Kaiserstrasse_2024-09-16_11,1550,817,733
Kaiserstrasse_2024-09-16_12,1983,946,1037
Kaiserstrasse_2024-09-16_13,2121,1000,1121
Kaiserstrasse_2024-09-16_14,1543,678,865
Kaiserstrasse_2024-09-16_15,1740,802,938
Kaiserstrasse_2024-09-16_16,2021,847,1174
Kaiserstrasse_2024-09-16_17,1855,936,919
Kaiserstrasse_2024-09-16_18,1460,693,767
Kaiserstrasse_2024-09-16_19,1053,504,549
Kaiserstrasse_2024-09-16_20,381,157,224
Kaiserstrasse_2024-09-16_21,273,134,139
Kaiserstrasse_2024-09-16_22,145,57,88
Kaiserstrasse_2024-09-16_23,72,29,43
Kaiserstrasse_2024-09-17_0,60,26,34
Kaiserstrasse_2024-09-17_1,17,11,6
Kaiserstrasse_2024-09-17_2,8,6,2
Kaiserstrasse_2024-09-17_3,7,0,7
Kaiserstrasse_2024-09-17_4,13,3,10
Kaiserstrasse_2024-09-17_5,45,15,30
Kaiserstrasse_2024-09-17_6,233,124,109
Kaiserstrasse_2024-09-17_7,642,443,199
Kaiserstrasse_2024-09-17_8,801,525,276
Kaiserstrasse_2024-09-17_9,1047,587,460
Kaiserstrasse_2024-09-17_10,1442,787,655
Kaiserstrasse_2024-09-17_11,1731,877,854
Kaiserstrasse_2024-09-17_12,1967,982,985
Kaiserstrasse_2024-09-17_13,2302,1084,1218
Kaiserstrasse_2024-09-17_14,2053,990,1063
Kaiserstrasse_2024-09-17_15,1974,880,1094
Kaiserstrasse_2024-09-17_16,2408,1037,1371
Kaiserstrasse_2024-09-17_17,2123,990,1133
Kaiserstrasse_2024-09-17_18,1572,731,841
Kaiserstrasse_2024-09-17_19,1108,531,577
Kaiserstrasse_2024-09-17_20,498,233,265
Kaiserstrasse_2024-09-17_21,336,135,201
Kaiserstrasse_2024-09-17_22,195,85,110
Kaiserstrasse_2024-09-17_23,80,49,31
Kaiserstrasse_2024-09-18_0,46,20,26
Kaiserstrasse_2024-09-18_1,33,19,14
Kaiserstrasse_2024-09-18_2,7,5,2
Kaiserstrasse_2024-09-18_3,7,6,1
Kaiserstrasse_2024-09-18_4,19,5,14
Kaiserstrasse_2024-09-18_5,40,13,27
Kaiserstrasse_2024-09-18_6,256,131,125
Kaiserstrasse_2024-09-18_7,642,473,169
Kaiserstrasse_2024-09-18_8,815,478,337
Kaiserstrasse_2024-09-18_9,968,527,441
Kaiserstrasse_2024-09-18_10,1459,780,679
Kaiserstrasse_2024-09-18_11,1665,913,752
Kaiserstrasse_2024-09-18_12,2147,1055,1092
Kaiserstrasse_2024-09-18_13,2128,1068,1060
Kaiserstrasse_2024-09-18_14,1942,849,1093
Kaiserstrasse_2024-09-18_15,1944,934,1010
Kaiserstrasse_2024-09-18_16,2104,923,1181
Kaiserstrasse_2024-09-18_17,2115,939,1176
Kaiserstrasse_2024-09-18_18,1559,757,802
Kaiserstrasse_2024-09-18_19,1235,512,723
Kaiserstrasse_2024-09-18_20,552,234,318
Kaiserstrasse_2024-09-18_21,325,126,199
Kaiserstrasse_2024-09-18_22,272,116,156
Kaiserstrasse_2024-09-18_23,152,106,46
Kaiserstrasse_2024-09-19_0,61,19,42
Kaiserstrasse_2024-09-19_1,15,10,5
Kaiserstrasse_2024-09-19_2,17,8,9
Kaiserstrasse_2024-09-19_3,6,2,4
Kaiserstrasse_2024-09-19_4,9,4,5
Kaiserstrasse_2024-09-19_5,59,27,32
Kaiserstrasse_2024-09-19_6,231,123,108
Kaiserstrasse_2024-09-19_7,698,466,232
Kaiserstrasse_2024-09-19_8,811,517,294
Kaiserstrasse_2024-09-19_9,1009,523,486
Kaiserstrasse_2024-09-19_10,1453,750,703
Kaiserstrasse_2024-09-19_11,1717,898,819
Kaiserstrasse_2024-09-19_12,2129,1016,1113
Kaiserstrasse_2024-09-19_13,2099,1049,1050
Kaiserstrasse_2024-09-19_14,1813,848,965
Kaiserstrasse_2024-09-19_15,2096,952,1144
Kaiserstrasse_2024-09-19_16,1985,868,1117
Kaiserstrasse_2024-09-19_17,2079,944,1135
Kaiserstrasse_2024-09-19_18,1475,662,813
Kaiserstrasse_2024-09-19_19,1188,572,616
Kaiserstrasse_2024-09-19_20,546,212,334
Kaiserstrasse_2024-09-19_21,344,145,199
Kaiserstrasse_2024-09-19_22,244,129,115
Kaiserstrasse_2024-09-19_23,118,47,71
Kaiserstrasse_2024-09-20_0,45,17,28
Kaiserstrasse_2024-09-20_1,17,5,12
Kaiserstrasse_2024-09-20_2,11,4,7
Kaiserstrasse_2024-09-20_3,20,11,9
Kaiserstrasse_2024-09-20_4,22,9,13
Kaiserstrasse_2024-09-20_5,49,18,31
Kaiserstrasse_2024-09-20_6,166,74,92
Kaiserstrasse_2024-09-20_7,574,390,184
Kaiserstrasse_2024-09-20_8,772,460,312
Kaiserstrasse_2024-09-20_9,1080,574,506
Kaiserstrasse_2024-09-20_10,1556,872,684
Kaiserstrasse_2024-09-20_11,1832,961,871
Kaiserstrasse_2024-09-20_12,2095,1092,1003
Kaiserstrasse_2024-09-20_13,2331,1124,1207
Kaiserstrasse_2024-09-20_14,2048,991,1057
Kaiserstrasse_2024-09-20_15,2181,1006,1175
Kaiserstrasse_2024-09-20_16,2253,965,1288
Kaiserstrasse_2024-09-20_17,2241,1032,1209
Kaiserstrasse_2024-09-20_18,2249,1127,1122
Kaiserstrasse_2024-09-20_19,1567,699,868
Kaiserstrasse_2024-09-20_20,718,332,386
Kaiserstrasse_2024-09-20_21,490,224,266
Kaiserstrasse_2024-09-20_22,484,213,271
Kaiserstrasse_2024-09-20_23,219,76,143
Kaiserstrasse_2024-09-21_0,169,63,106
Kaiserstrasse_2024-09-21_1,77,23,54
Kaiserstrasse_2024-09-21_2,42,15,27
Kaiserstrasse_2024-09-21_3,35,10,25
Kaiserstrasse_2024-09-21_4,42,14,28
Kaiserstrasse_2024-09-21_5,37,11,26
Kaiserstrasse_2024-09-21_6,104,37,67
Kaiserstrasse_2024-09-21_7,150,71,79
Kaiserstrasse_2024-09-21_8,377,184,193
Kaiserstrasse_2024-09-21_9,704,377,327
Kaiserstrasse_2024-09-21_10,1429,855,574
Kaiserstrasse_2024-09-21_11,1967,1187,780
Kaiserstrasse_2024-09-21_12,2394,1453,941
Kaiserstrasse_2024-09-21_13,2540,1396,1144
Kaiserstrasse_2024-09-21_14,2530,1279,1251
Kaiserstrasse_2024-09-21_15,2608,1297,1311
Kaiserstrasse_2024-09-21_16,2602,1164,1438
Kaiserstrasse_2024-09-21_17,2616,1188,1428
Kaiserstrasse_2024-09-21_18,2463,1005,1458
Kaiserstrasse_2024-09-21_19,1974,895,1079
Kaiserstrasse_2024-09-21_20,1017,398,619
Kaiserstrasse_2024-09-21_21,599,232,367
Kaiserstrasse_2024-09-21_22,491,209,282
Kaiserstrasse_2024-09-21_23,304,145,159
Kaiserstrasse_2024-09-22_0,218,82,136
Kaiserstrasse_2024-09-22_1,96,38,58
Kaiserstrasse_2024-09-22_2,89,35,54
Kaiserstrasse_2024-09-22_3,44,13,31
Kaiserstrasse_2024-09-22_4,25,10,15
Kaiserstrasse_2024-09-22_5,37,7,30
Kaiserstrasse_2024-09-22_6,42,19,23
Kaiserstrasse_2024-09-22_7,85,41,44
Kaiserstrasse_2024-09-22_8,118,52,66
Kaiserstrasse_2024-09-22_9,316,157,159
Kaiserstrasse_2024-09-22_10,449,247,202
Kaiserstrasse_2024-09-22_11,571,341,230
Kaiserstrasse_2024-09-22_12,642,340,302
Kaiserstrasse_2024-09-22_13,637,298,339
Kaiserstrasse_2024-09-22_14,781,366,415
Kaiserstrasse_2024-09-22_15,727,311,416
Kaiserstrasse_2024-09-22_16,758,355,403
Kaiserstrasse_2024-09-22_17,758,336,422
Kaiserstrasse_2024-09-22_18,715,311,404
Kaiserstrasse_2024-09-22_19,598,241,357
Kaiserstrasse_2024-09-22_20,493,229,264
Kaiserstrasse_2024-09-22_21,317,159,158
Kaiserstrasse_2024-09-22_22,129,73,56
Kaiserstrasse_2024-09-22_23,84,59,25
